漢字,カタカナ読み,正答,誤答1,誤答2,誤答3
思想,シソウ,考え方・観念,こすれ合うこと・利害の衝突,むごく痛ましいこと,考えが行き詰まること
尋常,ジンジョウ,並大抵・普通,自分の過ちを認めること,抑えきれない怒りを覚えること,力を尽くして努力すること
縁故,エンコ,つながり・ゆかり・理由,真面目で飾り気がないこと,思い通りにならず苦しむこと,馬鹿にして笑う
憐憫,レンビン,あわれみ・不憫に思うこと,力を尽くして努力すること,こすれ合うこと・利害の衝突,並大抵・普通
慇懃,インギン,丁寧で礼儀正しいこと,危難から助け出す,物事を恐れない強い心,その人が持っている本質的な特徴
猜疑,サイギ,人を疑いねたむこと,互いに励まし合うこと,物事に心を奪われてうっとりするさま,穏やかで落ち着いていること
冤罪,エンザイ,無実の罪,平凡で優れた点がないこと,ニュースを知らせること,自分の過ちを認めること
顛末,テンマツ,事の経緯・一部始終,言葉に出さず心に秘めること,他人の言葉を信じ込むこと,繰り返し行われるならわし
功名,コウミョウ,手柄を立てて名を上げること,言葉に出さず心に秘めること,真面目で飾り気がないこと,考えが行き詰まること
独白,ドクハク,独り言・モノローグ,誰かを懐かしく想うこと,先のことを心配すること,何かをじっと見つめること
嫉む,ソネム,他人の才能などをうらやみ憎む,人の心に深く訴えること,労働や骨折りに対するお礼,無実の罪
嘲る,アザケル,馬鹿にして笑う,ニュースを知らせること,先のことを心配すること,急いで逃げ去ること
恍惚,コウコツ,物事に心を奪われてうっとりするさま,急いで逃げ去ること,立場や態度をはっきりさせること,思いにふけりながら行ったり来たりすること
惰性,ダセイ,これまでの習慣や勢い,考えが行き詰まること,抑えきれない怒りを覚えること,先のことを心配すること
錯乱,サクラン,感情や思考がひどく乱れること,ちらりと見ること,外部から作用させて反応を起こさせること,並大抵・普通
真率,シンソツ,真面目で飾り気がないこと,力を尽くして努力すること,繰り返し行われるならわし,人の心に深く訴えること
惨痛,サンツウ,むごく痛ましいこと,他人の言葉を信じ込むこと,もとの場所に引き返すこと,物事のすべてを投げ出すこと
報酬,ホウシュウ,労働や骨折りに対するお礼,信念を曲げずに貫くこと,こすれ合うこと・利害の衝突,外部から作用させて反応を起こさせること
回復,カイフク,元の状態に戻ること,進行や光などを邪魔して止める,静かに涙を流すこと,言葉に出さず心に秘めること
報道,ホウドウ,ニュースを知らせること,物事に心を奪われてうっとりするさま,きっぱりと決めること,物事のすべてを投げ出すこと
委託,イタク,他人に任せること,静かに涙を流すこと,元の状態に戻ること,並大抵・普通
治癒,チユ,病気やけがが治ること,他人の才能などをうらやみ憎む,立場や態度をはっきりさせること,強い意志で立ち向かうこと
猶予,ユウヨ,実行の期日を延ばすこと,人を疑いねたむこと,ちらりと見ること,立場や態度をはっきりさせること
概略,ガイリャク,あらまし・内容の要点,こすれ合うこと・利害の衝突,強い意志で立ち向かうこと,自分の過ちを認めること
遮る,サエギル,進行や光などを邪魔して止める,急いで逃げ去ること,命令や規則、流れに従う,立場や態度をはっきりさせること
寄寓,キグウ,一時的に他人の家に身を寄せること,他人に任せること,誰かを懐かしく想うこと,他人の才能などをうらやみ憎む
岐路,キロ,物事の分かれ道,深く後悔すること,気持ちが沈んで暗くなること,考えが行き詰まること
遺跡,イセキ,昔の建物などの跡,危難から助け出す,並大抵・普通,これまでの習慣や勢い
凌ぐ,シノグ,困難に耐える・能力が上回る,あわれみ・不憫に思うこと,物事を恐れない強い心,その人が持っている本質的な特徴
随う,シタガウ,命令や規則、流れに従う,静かに涙を流すこと,社会の利害を調整し秩序を作る営み,到達した心の状態・場所
捗る,ハカドル,仕事や勉強が順調に進む,病気やけがが治ること,自分の過ちを認めること,他人の言葉を信じ込むこと
遺言,ユイゴン,死に際に残す言葉,信念を曲げずに貫くこと,他に頼らず独り立ちすること,突然の出来事に慌てること
紹介,ショウカイ,仲立ちをして引き合わせること,丁寧で礼儀正しいこと,ひそかに企てること,抑えきれない怒りを覚えること
低徊,テイカイ,思いにふけりながら行ったり来たりすること,人を疑いねたむこと,立場や態度をはっきりさせること,無実の罪
踟蹰,チチュウ,ためらうこと・足踏みすること,むごく痛ましいこと,つながり・ゆかり・理由,先のことを心配すること
一瞥,イチベツ,ちらりと見ること,深く後悔すること,他人に任せること,あらまし・内容の要点
茫然,ボウゼン,意外なことに驚き呆れるさま,深く後悔すること,平凡で優れた点がないこと,他人の才能などをうらやみ憎む
模糊,モコ,ぼんやりしてはっきりしないさま,他人の言葉を信じ込むこと,思いにふけりながら行ったり来たりすること,物事のすべてを投げ出すこと
刺激,シゲキ,外部から作用させて反応を起こさせること,社会の利害を調整し秩序を作る営み,実行の期日を延ばすこと,人の心に深く訴えること
境地,キョウチ,到達した心の状態・場所,物事に心を奪われてうっとりするさま,ちらりと見ること,行き先を見失うこと
凡庸,ボンヨウ,平凡で優れた点がないこと,馬鹿にして笑う,信念を曲げずに貫くこと,国家が定めた社会のルール
摩擦,マサツ,こすれ合うこと・利害の衝突,あわれみ・不憫に思うこと,他人に任せること,その人が持っている本質的な特徴
政治,セイジ,社会の利害を調整し秩序を作る営み,穏やかで落ち着いていること,ちらりと見ること,感情や思考がひどく乱れること
法律,ホウリツ,国家が定めた社会のルール,ためらうこと・足踏みすること,穏やかで落ち着いていること,何かをじっと見つめること
独立,ドクリツ,他に頼らず独り立ちすること,物事に心を奪われてうっとりするさま,病気やけがが治ること,突然の出来事に慌てること
勇気,ユウキ,物事を恐れない強い心,これまでの習慣や勢い,その人が持っている本質的な特徴,あらまし・内容の要点
性質,セイシツ,その人が持っている本質的な特徴,他人に任せること,ぼんやりしてはっきりしないさま,平凡で優れた点がないこと
習慣,シュウカン,繰り返し行われるならわし,並大抵・普通,気持ちが沈んで暗くなること,仲立ちをして引き合わせること
決断,ケツダン,きっぱりと決めること,物事に心を奪われてうっとりするさま,つながり・ゆかり・理由,仕事や勉強が順調に進む
救う,スクウ,危難から助け出す,他に頼らず独り立ちすること,穏やかで落ち着いていること,自分の過ちを認めること
